gender,gender_value,age,university,degree_level,degree_major,academic_year,academic_value,cgpa,cgpa_value,residential_status,residental_value,campus_discrimination,campus_value,sports_engagement,sports_value,average_sleep,sleep_value,study_satisfaction,academic_workload ,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities,Item1,Item2,Item3,Item4,Item5,Item6
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Satisfied,Very High,Very High,Low,Low,High,High,Very High,Very High,"Religious Activities, Social Connections",Religious Activities,Social Connections,,,,
Male,2,20,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Very High,Very High,Medium,Medium,High,High,Medium,High,Outdoor Activities,Outdoor Activities,,,,,
Male,2,20,UET,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,Very High,High,Very High,Medium,Very High,Very High,Very High,Medium,"Religious Activities, Online Entertainment",Religious Activities,Online Entertainment,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,High,High,Very Low,Medium,Medium,High,Medium,Medium,"Religious Activities, Creative Outlets",Religious Activities,Creative Outlets,,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,7+ times,4,4-6 hrs,1,Very Satisfied,Very High,Medium,Very High,Very High,High,Very Low,Medium,Low,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",Religious Activities,Sports and Fitness,Social Connections,Online Entertainment,Outdoor Activities,
Male,2,23,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,Off-Campus,2,Yes,2,1-3 times,2,7-8 hrs,3,Neutral,Medium,High,Very Low,High,Medium,Medium,Low,Medium,"Religious Activities, Online Entertainment, Outdoor Activities",Religious Activities,Online Entertainment,Outdoor Activities,,,
Male,2,20,PU,Undergraduate,Computer Science,1st year,1,1.5-2.0,2,Off-Campus,2,Yes,2,7+ times,4,2-4 hrs,2,Very Dissatisfied,High,Very High,Very High,Very Low,Very High,Very High,Very High,Very High,Online Entertainment,Online Entertainment,,,,,
Male,2,18,PU,Undergraduate,Data Science,1st year,1,2.5-3.0,4,Off-Campus,2,No,1,4-6 times,3,4-6 hrs,1,Satisfied,Medium,High,High,High,Medium,High,High,Low,"Sports and Fitness, Creative Outlets, Online Entertainment, Outdoor Activities",Sports and Fitness,Creative Outlets,Online Entertainment,Outdoor Activities,,
Male,2,20,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,4-6 times,3,7-8 hrs,3,Very Satisfied,Very High,Very High,Medium,Very High,Very High,Medium,Medium,Low,"Religious Activities, Outdoor Activities",Religious Activities,Outdoor Activities,,,,
Male,2,18,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Very Satisfied,Medium,Very Low,Very Low,Medium,Very Low,Low,Low,Very Low,Sleep,Sleep,,,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,2.0-2.5,3,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Dissatisified,High,Very Low,Very High,Medium,Medium,Medium,Medium,Low,"Creative Outlets, Social Connections, Online Entertainment, Outdoor Activities",Creative Outlets,Social Connections,Online Entertainment,Outdoor Activities,,
Male,2,18,PU,Undergraduate,Data Science,1st year,1,1.5-2.0,2,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,High,Very High,Low,Medium,High,Medium,High,High,Religious Activities,Religious Activities,,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,On-Campus,1,No,1,No Sports,1,7-8 hrs,3,Very Satisfied,High,High,Medium,Low,High,Low,Medium,Very Low,Creative Outlets,Creative Outlets,,,,,
Female,1,17,PU,Undergraduate,Computer Science,1st year,1,3.5-4.0,6,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Satisfied,Very High,Very High,Very High,Very Low,Very High,Very High,Very High,Medium,Sleep,Sleep,,,,,
Male,2,18,PU,Undergraduate,Computer Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,7+ times,4,4-6 hrs,1,Neutral,Medium,High,Very High,Low,High,Medium,High,Very High,"Religious Activities, Sports and Fitness, Social Connections",Religious Activities,Sports and Fitness,Social Connections,,,
Female,1,17,PU,Undergraduate,Computer Science,1st year,1,3.5-4.0,6,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Satisfied,High,High,Very High,Medium,High,High,Very High,Low,Religious Activities,Religious Activities,,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,4-6 times,3,7-8 hrs,3,Very Satisfied,Medium,Low,Low,High,Very Low,Low,Very Low,Very Low,Religious Activities,Religious Activities,,,,,
Female,1,18,PU,Undergraduate,Data Science,1st year,1,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Very Dissatisfied,High,Very High,Very High,Low,Very High,Very High,Very High,Very High,Creative Outlets,Creative Outlets,,,,,
Female,1,19,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,On-Campus,1,No,1,No Sports,1,2-4 hrs,2,Dissatisified,High,High,Very Low,Low,Medium,Medium,High,Medium,Religious Activities,Religious Activities,,,,,
Female,1,19,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Satisfied,High,High,High,Very Low,Very Low,Very Low,Very Low,High,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Male,2,18,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Dissatisified,High,High,Very High,Very Low,Very High,High,Very High,Very High,Online Entertainment,Online Entertainment,,,,,
Male,2,18,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,Yes,2,1-3 times,2,4-6 hrs,1,Satisfied,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Online Entertainment,Online Entertainment,,,,,
Male,2,18,PU,Undergraduate,Computer Science,1st year,1,3.5-4.0,6,Off-Campus,2,Yes,2,4-6 times,3,7-8 hrs,3,Satisfied,Low,Low,Very Low,Medium,Very Low,Very Low,Low,Medium,Online Entertainment,Online Entertainment,,,,,
Male,2,19,NUST,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,On-Campus,1,No,1,1-3 times,2,7-8 hrs,3,Satisfied,High,High,Medium,High,Low,Low,Low,High,"Religious Activities, Online Entertainment, Outdoor Activities",Religious Activities,Online Entertainment,Outdoor Activities,,,
